name,lat,lng
Admiralty Secondary School,1.4459118499999999,103.80290805413242
Ahmad Ibrahim Secondary School,1.4360948,103.83005485666672
Anderson Secondary School,1.37541705,103.85172271977174
Anglican High School,1.33021825,103.94175939498882
Anglo-Chinese School (Barker Road),1.3197093999999998,103.83566144213304
Anglo-Chinese School (Independent),1.3029215,103.78055109171335
Ang Mo Kio Secondary School,1.3676706,103.8425942040293
Assumption English School,1.3690319,103.76654418546406
Bartley Secondary School,1.3406552,103.88232713686763
Beatty Secondary School,1.3417851,103.85227338068876
Bedok Green Secondary School,1.334061,103.93585828465199
Bedok South Secondary School,1.3255597,103.95102831010223
Bedok View Secondary School,1.3247404,103.94354363524812
Bendemeer Secondary School,1.3244863,103.86048595880919
Boon Lay Secondary School,1.3427581000000002,103.70167376032693
Bowen Secondary School,1.3708838499999998,103.87760179299897
Broadrick Secondary School,1.30726495,103.88688663729529
Bukit Batok Secondary School,1.3484109000000002,103.7407153883717
Bukit Merah Secondary School,1.2859241,103.81302160740091
Bukit Panjang Government High School,1.3820990499999999,103.73832067108246
Bukit View Secondary School,1.34569905,103.75219202760816
Catholic High School,1.35492755,103.84498827399534
Canberra Secondary School,1.45374325,103.81422793735004
Cedar Girls' Secondary School,1.33421505,103.87425205458916
Changkat Changi Secondary School,1.3404936,103.9529812112048
CHIJ Katong Convent (Secondary),1.3060071,103.9169823
CHIJ Secondary (Toa Payoh),1.3326721,103.84284656956811
CHIJ St. Joseph's Convent,1.39185175,103.90248663868363
CHIJ St. Nicholas Girls' School,1.37344905,103.83407767975933
CHIJ St. Theresa's Convent,1.27614885,103.8222529475166
Chua Chu Kang Secondary School,1.38350835,103.75154241451996
Christ Church Secondary School,1.42666655,103.79314665636525
Chung Cheng High School (Main),1.3053550999999999,103.8917707808657
Chung Cheng High School (Yishun),1.41910045,103.83728733872445
Clementi Town Secondary School,1.31566085,103.7619064748706
Commonwealth Secondary School,1.31969715,103.74569995189142
Compassvale Secondary School,1.39652095,103.90014701267849
Crescent Girls' School,1.2934392,103.81802376836586
Damai Secondary School,1.337598,103.92682076787418
Deyi Secondary School,1.3667377,103.85219102410963
Dunearn Secondary School,1.36358465,103.74454623037288
Dunman High School,1.2987458,103.88218804961959
Dunman Secondary School,1.36116845,103.95601386964589
East Spring Secondary School,1.3569738500000001,103.96108060454718
Edgefield Secondary School,1.4002065,103.90231236583652
Evergreen Secondary School,1.44173915,103.79402384418674
Fairfield Methodist Secondary School,1.30171935,103.7843920607827
Fajar Secondary School,1.3753080500000001,103.7640113844527
Fuchun Secondary School,1.43072245,103.77729137149447
Fuhua Secondary School,1.3473107500000001,103.72702278610203
Gan Eng Seng School,1.2894694000000002,103.82366196916158
Geylang Methodist School (Secondary),1.3176038499999998,103.883251178634
Greendale Secondary School,1.3977221499999999,103.91160976934093
Greenridge Secondary School,1.3825375,103.7738488647038
Guangyang Secondary School,1.34461375,103.8499305484476
Hai Sing Catholic School,1.3745734,103.95515793710277
Hillgrove Secondary School,1.3533675,103.75299054610036
Holy Innocents' High School,1.3716598,103.8957435716956
Hong Kah Secondary School,1.3527114500000001,103.72714904124834
Hougang Secondary School,1.37773995,103.88247109093004
Hua Yi Secondary School,1.3520885,103.72162517495629
Hwa Chong Institution,1.3262797499999999,103.80352576452364
Junyuan Secondary School,1.35317525,103.93354472807195
Jurong Secondary School,1.33030995,103.72397423030336
Jurong West Secondary School,1.3354612000000001,103.70240256902011
Jurongville Secondary School,1.35128445,103.72897389782479
Juying Secondary School,1.33825905,103.68735761400598
Kent Ridge Secondary School,1.3011517000000001,103.76512888660395
Kranji Secondary School,1.3905569500000001,103.7412086489197
Kuo Chuan Presbyterian Secondary School,1.3498294,103.8527523
Loyang View Secondary School,1.3668698,103.9546473
Manjusri Secondary School,1.3275613499999999,103.90171392055302
Maris Stella High School,1.34203865,103.87832755031559
Marsiling Secondary School,1.43729935,103.77594105924656
Mayflower Secondary School,1.36906525,103.83577078845278
Meridian Secondary School,1.3969357,103.9088889
Methodist Girls' School (Secondary),1.3328403500000001,103.78357653245811
Montfort Secondary School,1.3740894,103.886635
Nan Chiau High School,1.3894693,103.89008329140609
Nan Hua High School,1.3083036,103.76909696778512
Nanyang Girls' High School,1.3305083500000001,103.8023239692522
National Junior College,1.330727,103.80441667162106
Naval Base Secondary School,1.419211,103.83099497032207
New Town Secondary School,1.30988355,103.77360136689545
Ngee Ann Secondary School,1.3543069,103.95665280780372
North Vista Secondary School,1.3816673000000002,103.89878616016483
Northbrooks Secondary School,1.4212669,103.8447792
Northland Secondary School,1.43571045,103.84071947342821
NUS High School of Mathematics and Science,1.3069962,103.76999563920836
Orchid Park Secondary School,1.4157749499999999,103.83810287861955
Outram Secondary School,1.28627625,103.83712669941735
Pasir Ris Crest Secondary School,1.37271,103.9597609909008
Pasir Ris Secondary School,1.35470585,103.94852724495263
Paya Lebar Methodist Girls' School (Secondary),1.3510352,103.8826189
Pei Hwa Secondary School,1.39088135,103.87815202921738
Peicai Secondary School,1.35891515,103.87058442684707
Peirce Secondary School,1.3664814,103.82953310012323
Ping Yi Secondary School,1.3269364000000001,103.92096511877992
Presbyterian High School,1.3832223,103.84281996031899
Punggol Secondary School,1.4022782999999999,103.90906378552833
Queenstown Secondary School,1.2934342,103.81331399959538
Queensway Secondary School,1.3025375,103.8015922
Raffles Girls' School (Secondary),1.34295555,103.84330709944169
Raffles Institution,1.3466311499999999,103.84451956304028
Regent Secondary School,1.3935137499999999,103.75101209380934
Riverside Secondary School,1.44058925,103.78839524092368
River Valley High School,1.3433953,103.70925920622919
St. Andrew's Secondary School,1.3311030000000001,103.86612132153002
St. Patrick's School,1.3086646499999999,103.91694506663454
"School of Science and Technology, Singapore",1.3131051,103.77372539203807
"School of the Arts, Singapore",1.2990858,103.8490353
Sembawang Secondary School,1.44565285,103.81666278797933
Seng Kang Secondary School,1.3865332,103.89870625871443
Serangoon Garden Secondary School,1.3702241,103.86897286092807
Serangoon Secondary School,1.3749396,103.90206302368388
Shuqun Secondary School,1.340467,103.73956489253732
Singapore Chinese Girls' School,1.3210897,103.82786731298657
Singapore Sports School,1.4272654,103.78772923507564
Springfield Secondary School,1.34999395,103.9299857351644
St. Anthony's Canossian Secondary School,1.334946,103.9423636122844
St. Gabriel's Secondary School,1.3465775500000001,103.87547399268121
St. Hilda's Secondary School,1.350089,103.93699514615196
St. Margaret's Secondary School,1.32043285,103.80968354710049
St. Joseph's Institution,1.3241929,103.82832103058232
Swiss Cottage Secondary School,1.36456,103.75043307403962
Tanglin Secondary School,1.30983385,103.75804351906996
Tampines Secondary School,1.3494462,103.94410229255537
Tanjong Katong Girls' School,1.30755665,103.89636182358802
Tanjong Katong Secondary School,1.3083187,103.89733967436041
Teck Whye Secondary School,1.3830944,103.75523104179673
Temasek Junior College,1.31820425,103.9349802695076
Temasek Secondary School,1.3163472999999999,103.94785330286003
Unity Secondary School,1.39972215,103.74602939217792
Victoria School,1.30854205,103.92745780276405
West Spring Secondary School,1.38827575,103.75987181608919
Westwood Secondary School,1.35357275,103.70180250863571
Whitley Secondary School,1.35567945,103.84255758133664
Woodgrove Secondary School,1.42830325,103.79658064600358
Woodlands Ring Secondary School,1.436023,103.80043534945747
Woodlands Secondary School,1.43959845,103.77439467346329
Xinmin Secondary School,1.3725581999999998,103.88292818222591
Yio Chu Kang Secondary School,1.3784798500000002,103.84210804081067
Yishun Secondary School,1.42793975,103.82902825
Yishun Town Secondary School,1.4326645500000001,103.83788512141666
Yuan Ching Secondary School,1.3415819,103.72015364463991
Yuhua Secondary School,1.3468879999999999,103.72242480151814
Yusof Ishak Secondary School,1.4071727,103.89663339476327
Yuying Secondary School,1.3570939499999999,103.89070897403971
Zhenghua Secondary School,1.3888414,103.76520736341934
Zhonghua Secondary School,1.3486042999999999,103.8693704480504
