name,lat,lng,wikipedia_link
100 AM,1.2750117,103.84137159999999,
313@Somerset,1.3010128,103.83853994515806,
Aperia,1.3097138000000002,103.86383670000001,
Balestier Hill Shopping Centre,1.32544235,103.84252114874478,
Bugis Cube,1.2982756000000002,103.85555459999999,
Bugis Junction,1.2999533,103.85527814689878,/wiki/Bugis_Junction
Bugis+,1.2999533,103.85527814689878,/wiki/Bugis%2B
Capitol Piazza,1.2930198,103.85098111219958,/wiki/Capitol_Piazza
Cathay Cineleisure Orchard,1.3014468000000001,103.83648065159622,/wiki/Cathay_Cineleisure_Orchard
Clarke Quay Central,1.2881865499999998,103.84639555444176,
The Centrepoint,1.3018345,103.83971267313429,/wiki/The_CentrePoint
City Square Mall,1.3112429,103.8565772183625,/wiki/City_Square_Mall
City Gate Mall,1.3023018999999998,103.86007740000001,
CityLink Mall,1.2921921,103.8545358331597,/wiki/CityLink_Mall
Duo,1.2992695,103.8557973,/wiki/DUO
Far East Plaza,1.3071428999999999,103.83364047054378,/wiki/Far_East_Plaza
Funan,1.2916694,103.8496052,"/wiki/Funan,_Singapore"
Great World City,1.29345175,103.83199294351853,/wiki/Great_World_City
HDB Hub,1.3319765,103.8485384471402,/wiki/HDB_Hub
Holland Village Shopping Mall,1.3106141000000002,103.7935015,"/wiki/Holland_Village,_Singapore"
ION Orchard,1.30394785,103.83190513892653,/wiki/ION_Orchard
Junction 8,1.3505893,103.84874474726445,/wiki/Junction_8
Knightsbridge,1.3032346,103.8363240606685,
Liang Court,1.29148095,103.84467138849469,/wiki/Liang_Court
Liat Towers,1.3050783000000001,103.83072586520694,/wiki/Liat_Towers
Lucky Plaza,1.3046029,103.8339122381902,/wiki/Lucky_Plaza
Marina Bay Sands,1.2836965,103.86072259999999,/wiki/Marina_Bay_Sands
The Shoppes at Marina Bay Sands,1.2840175,103.85879973068084,/wiki/Marina_Bay_Sands
Marina Bay Financial Centre Tower 3,1.2789573,103.85444879254564,
Marina Bay Link Mall,1.2808361,103.85398880484463,/wiki/Marina_Bay_Link_Mall
Marina One,1.2772586499999998,103.85295961439863,/wiki/Marina_One
Marina Square,1.2912739,103.8571835763402,/wiki/Marina_Square
Millenia Walk,1.292471,103.8596399132467,/wiki/Millenia_Walk
Mustafa Shopping Centre,1.3097931,103.8533643,/wiki/Mustafa_Centre
Ngee Ann City,1.3026170499999998,103.83452841745743,/wiki/Ngee_Ann_City
Orchard Central,1.3034266,103.83134195570692,/wiki/Orchard_Central
Orchard Gateway,1.3014214,103.83890490000002,/wiki/Orchard_Gateway
Orchard Plaza,1.3013398,103.8411566949469,
Midpoint Orchard,1.3017143,103.83863113855568,
Orchard Shopping Centre,1.3014771,103.83789340250462,
Palais Renaissance,1.3067445,103.827389,/wiki/Palais_Renaissance
People's Park Centre,1.285942,103.84422640000001,/wiki/People%27s_Park_Centre
People's Park Complex,1.28413865,103.84255695900957,/wiki/People%27s_Park_Complex
Plaza Singapura,1.3004414,103.84490279418732,/wiki/Plaza_Singapura
PoMo,1.3004499,103.84935829999999,
Raffles City,1.2938762499999998,103.85326164050065,/wiki/Raffles_City_Singapore
Scotts Square,1.30583435,103.83293325375892,
Serangoon Plaza,1.3109013999999999,103.8548135,
Shaw House and Centre,1.3062986,103.8296532,/wiki/Shaw_House_and_Centre
Sim Lim Square,1.3030332,103.85302554045288,/wiki/Sim_Lim_Square
Singapore Shopping Centre,1.2981147000000002,103.84411119887301,
The South Beach,1.2948485,103.85373680000001,"/wiki/South_Beach,_Singapore"
Square 2,1.3206361999999998,103.84418667335356,/wiki/Square_2
Suntec City,1.296062,103.85880748548773,/wiki/Suntec_City
Tanglin Mall,1.3048201000000001,103.8238677436591,
Tangs,1.3047546,103.8330692,/wiki/Tangs
Tanjong Pagar Centre,1.2769992000000001,103.8435825,/wiki/Tanjong_Pagar_Centre
Tekka Centre,1.3061832,103.85058749683243,/wiki/Tekka_Centre
The Paragon,1.3037371000000002,103.83552032835091,"/wiki/Paragon,_Singapore"
Tiong Bahru Plaza,1.2863599,103.82733303018044,/wiki/Tiong_Bahru_Plaza
The Poiz,1.33161365,103.86836882369656,
Thomson Plaza,1.3546534,103.831072972866,/wiki/Thomson_Plaza
United Square,1.31725795,103.8436008937355,/wiki/United_Square_Shopping_Mall
Velocity@Novena Square,1.31725795,103.8436008937355,/wiki/Novena_Square_Shopping_Mall
Wheelock Place,1.3046691000000001,103.83060029013323,/wiki/Wheelock_Place
Wisma Atria,1.30369665,103.83328756379005,/wiki/Wisma_Atria
Zhongshan Mall,1.32715435,103.8464916956952,
White Sands,1.3723843999999998,103.94972056510376,"/wiki/White_Sands_Shopping_Mall,_Singapore"
Downtown East,1.3773722,103.95464799890136,/wiki/NTUC_Downtown_East
Century Square,1.35237745,103.94381950026856,/wiki/Century_Square
Tampines 1,1.3546528,103.94357120000001,/wiki/Tampines_1
Tampines Mall,1.35254345,103.9447382628525,/wiki/Tampines_Mall
Our Tampines Hub,1.3530262,103.94067546923586,/wiki/Our_Tampines_Hub
Changi Airport,1.35755735,103.98847034565972,/wiki/Changi_Airport
Changi City Point,1.334113,103.9627137138492,/wiki/Changi_City_Point
Djitsun Mall Bedok,1.3260744,103.92957539091324,
Eastpoint Mall,1.3427198999999999,103.9508475,"/wiki/Eastpoint_Mall,_Singapore"
Bedok Mall,1.32487995,103.92923955857626,/wiki/Bedok_Mall
Bedok Point,1.3239765,103.930216,/wiki/Bedok_Point
Paya Lebar Square,1.31862245,103.89263484259172,
Singapore Post Centre,1.31895315,103.89479014422965,
Paya Lebar Quarter (PLQ),1.3168265,103.8912113,
KINEX,1.31476385,103.894706957721,
Katong Shopping Centre,1.30387795,103.90117314217406,/wiki/Katong_Shopping_Centre
Roxy Square,1.30334185,103.90464588440835,
i12 Katong,1.3051226,103.90516740000001,/wiki/I12_Katong
Parkway Parade,1.30137335,103.90517777316566,/wiki/Parkway_Parade
City Plaza,1.3147175,103.89341430734517,
Katong Square,1.30470365,103.90480078131986,
Katong V,1.3031333999999999,103.90323120000001,
Kallang Wave Mall,1.3035107,103.87279165366071,/wiki/Kallang_Wave_Mall
Leisure Park Kallang,1.3022347,103.87655441740488,/wiki/Leisure_Park_Kallang
East Village,1.33166445,103.94629082461715,
Elias Mall,1.37855525,103.94201335265566,
Loyang Point,1.3753678,103.97729240000001,
The Flow,1.30455535,103.90426593405978,
Jewel Changi Airport,1.36022425,103.98967490995527,/wiki/Jewel_Changi_Airport
888 Plaza,1.4378098499999998,103.79531608979214,
Admiralty Place,1.4396974500000002,103.80184109786026,
AMK Hub,1.36943465,103.84833397934707,/wiki/AMK_Hub
Canberra Plaza,1.4432208999999998,103.8305821,"/wiki/Canberra_Plaza,_Singapore"
Causeway Point,1.43610095,103.78609485029942,/wiki/Causeway_Point
Broadway Plaza,1.37190305,103.84597045,
Djitsun Mall,1.3728878999999998,103.84761873108489,/wiki/Djitsun_Mall
Jubilee Square,1.3718135500000002,103.8477532,
Junction 9,1.4331481000000001,103.83936429999999,
Marsiling Mall,1.4335007,103.7774804,
Northpoint City,1.4282062,103.83626400464054,/wiki/Northpoint_City
Sembawang Shopping Centre,1.4417425499999998,103.82487530981949,/wiki/Sembawang_Shopping_Centre
Sun Plaza,1.4480986,103.8190191,"/wiki/Sun_Plaza,_Singapore"
Vista Point,1.4307324,103.79404367961253,
Wisteria Mall,1.426173,103.83537659999999,
Woodlands Mart,1.4456569,103.79817201039693,
Woodlands North Plaza,1.44287995,103.79086393733871,
Waterway Point,1.4066031,103.9020707368327,/wiki/Waterway_Point
Compass One,1.3920336999999998,103.89495266211112,/wiki/Compass_One
Hougang Mall,1.3725735,103.89378785746996,/wiki/Hougang_Mall
Heartland Mall,1.3596301000000002,103.88522587981177,/wiki/Heartland_Mall
NEX,1.3504507,103.8722447257683,/wiki/Nex
Greenwich V,1.38750095,103.86939420537256,
Hougang 1,1.3708011,103.89254433997463,/wiki/Hougang_1
Hougang Green Shopping Mall,1.3791215,103.88784192974084,
myVillage At Serangoon Garden,1.3650753,103.8630135,
Oasis Terraces,1.4028263,103.91322898475237,/wiki/Oasis_Terraces
Punggol Plaza,1.39425115,103.91283460602591,/wiki/Punggol_Plaza
Rivervale Mall,1.39224515,103.9043778208493,
Rivervale Plaza,1.39047365,103.90563824398895,
The Seletar Mall,1.39177275,103.87601481189544,/wiki/Seletar_Mall
Buangkok Square,1.38431315,103.88218650381486,
The Midtown,1.370386,103.89532378979608,
Upper Serangoon Shopping Centre,1.3536587,103.878822774012,
Beauty World Centre,1.3423624,103.77648548347662,
Beauty World Plaza,1.34183005,103.77627795975599,
Bukit Panjang Plaza,1.3799708000000002,103.76433344690031,
Bukit Timah Plaza,1.3384958999999998,103.77851057772828,
Fajar Shopping Centre,1.3834498000000002,103.77109421226288,
Greenridge Shopping Centre,1.38537915,103.76619017659138,
Hillion Mall,1.37850815,103.76332120454073,/wiki/Hillion_Mall
HillV2,1.3633594,103.76212640000001,
Junction 10,1.3803675000000002,103.76016739821614,/wiki/Junction_10
Limbang Shopping Centre,1.392354,103.743339,
Lot One,1.3851223,103.74272020000001,/wiki/Lot_One
Rail Mall,1.3601778,103.76754491186723,
Sunshine Place,1.37779095,103.7389210763482,
Teck Whye Shopping Centre,1.3807832,103.75247053727337,
West Mall,1.3500765,103.74925662743149,/wiki/West_Mall
Yew Tee Point,1.3974608,103.7474009,/wiki/Yew_Tee_Point
Yew Tee Square,1.3982858,103.74700820164291,
Keat Hong Shopping Centre,1.37733185,103.74441652306051,
KKH The Retail Mall,1.3106434,103.8445729,
VivoCity,1.26437065,103.82295373341057,/wiki/VivoCity
HarbourFront Centre,1.26422175,103.82024541611072,/wiki/HarbourFront_Centre
Alexandra Retail Centre,1.2738926000000002,103.80145637841032,/wiki/Alexandra_Retail_Centre
321 Clementi,1.31502865,103.76449818926643,/wiki/Eng_Wah_Global
The Clementi Mall,1.31502865,103.76449818926643,/wiki/Clementi_Mall
IMM,1.334611,103.74674944042104,/wiki/IMM_(Singapore)
JCube,1.33329985,103.74015929104256,/wiki/JCube
Jem,1.3332962,103.74339115077903,"/wiki/Jem,_Singapore"
Westgate,1.2904753,103.8520359,"/wiki/Westgate,_Singapore"
Jurong Point,1.33949635,103.705254010763,/wiki/Jurong_Point
Pioneer Mall,1.34169785,103.69716062421308,/wiki/Pioneer_Mall
The Star Vista,1.3068312,103.78842676612958,/wiki/The_Star_Vista
Alexandra Central,1.277477,103.8018803,
Anchorpoint,1.2886745000000002,103.80509515066991,
Big Box,1.3322794,103.7457493,
OD Mall,1.3384538000000001,103.7911635,
Boon Lay Shopping Centre,1.34633675,103.71276135737722,
Grantral Mall,1.314298,103.76293869999999,
Fairprice Hub,1.32553245,103.6784394466132,
Gek Poh Shopping Centre,1.349176,103.69751948374521,/wiki/Gek_Poh_Shopping_Centre
Rochester Mall,1.30565775,103.78808375779349,/wiki/Rochester_Mall
Taman Jurong Shopping Centre,1.33478625,103.72010845018316,
West Coast Plaza,1.3034780000000001,103.7658546,/wiki/West_Coast_Plaza
Queensway Shopping Centre,1.28750595,103.8035434807163,/wiki/Queensway_Shopping_Centre
