name,codes,lat,lng,opening_year,type
Eunos,EW7,1.3197782848869883,103.90325213335886,1989,mrt
Chinese Garden,EW25,1.3423521542087522,103.73259640485368,1988,mrt
Khatib,NS14,1.4173827034869275,103.8329795744054,1988,mrt
Kranji,NS7,1.4251770321043908,103.76216507762184,1996,mrt
Redhill,EW18,1.2895620597351771,103.81681633682066,1988,mrt
Yew Tee,NS5,1.397534351127437,103.74740478088701,1996,mrt
Pioneer,EW28,1.3375862155395857,103.69732117985001,2009,mrt
Commonwealth,EW20,1.3024380686600578,103.79830418230856,1988,mrt
Paya Lebar,EW8/CC9,1.3177705084692333,103.89261926699366,1989,mrt
Simei,EW3,1.3432022282651752,103.95337136066445,1989,mrt
Tampines,EW2/DT32,1.3541887260035037,103.94410425957537,1989,mrt
Admiralty,NS10,1.4405843344190299,103.80098766749201,1996,mrt
Yishun,NS13,1.4294424141442492,103.83500471286108,1988,mrt
Pasir Ris,EW1,1.3729831069139988,103.94926778474311,1989,mrt
Clementi,EW23,1.3149538257568942,103.76529854103686,1988,mrt
Aljunied,EW9,1.316431944990924,103.8829057113044,1989,mrt
Ang Mo Kio,NS16/NS16,1.3696395728466657,103.849745229326,1987,mrt
Expo,CG1/DT35,1.3349652909203047,103.96196162553274,2001,mrt
Choa Chu Kang,NS4,1.3853610261628218,103.74434061293657,1990,mrt
Jurong East,EW24/NS1,1.3331519532278349,103.7422862107588,1988,mrt
Queenstown,EW19,1.2948602661277877,103.8058840005678,1988,mrt
Tuas Link,EW33,1.3404630989851132,103.6368783457052,2017,mrt
Gul Circle,EW30,1.319504548274108,103.66055262304035,2017,mrt
Woodlands,NS9/TE2,1.4364703880855214,103.78720763767264,1996,mrt
Tuas Crescent,EW31,1.321025886578594,103.64907514553484,2017,mrt
Kallang,EW10,1.3114882429751198,103.87138620801176,1989,mrt
Tuas West Road,EW32,1.329988422385877,103.63961372334988,2017,mrt
Buona Vista,EW21/CC22,1.3068369011605283,103.79042213929672,1988,mrt
Dover,EW22,1.3114046262584216,103.77863750833254,2001,mrt
Sembawang,NS11,1.4490501545608727,103.82004580721942,1996,mrt
Kembangan,EW6,1.3210375821845908,103.91294905496805,1989,mrt
Bukit Batok,NS2,1.349033441910397,103.74956643059208,1990,mrt
Boon Lay,EW27,1.338603387837881,103.70606428946985,1990,mrt
Bukit Gombak,NS3,1.3587611905951815,103.75189316881792,1990,mrt
Marsiling,NS8,1.4325137539694672,103.77407112796614,1996,mrt
Bedok,EW5,1.3239793022215751,103.92998416118782,1989,mrt
Joo Koon,EW29,1.3277165064270284,103.67837480986536,2009,mrt
Lakeside,EW26,1.3442585827289693,103.72094893529601,1988,mrt
Tanah Merah,EW4,1.3271864678725516,103.94634612714071,1989,mrt
Yio Chu Kang,NS15,1.3817553794462003,103.84494695641784,1987,mrt
Oasis,PE6,1.4022860108276491,103.9127270222293,,other
Sam Kee,PW1,1.4096120184204668,103.9048312171314,,other
Farmway,SW2,1.397169529791631,103.88930447707097,,other
Kupang,SW3,1.3982121617306842,103.88125588861756,,other
Renjong,SW8,1.3867232548615454,103.89053909378927,,other
Bukit Panjang,BP6,1.377909231315871,103.76301330050272,2015,mrt
Fajar,BP10,1.3845201295088212,103.77080824921495,,other
Punggol,PTC,1.4051940346362328,103.90241157860174,2003,mrt
Samudera,PW4,1.415901052772624,103.90215598300765,,other
Nibong,PW5,1.4118697917870355,103.90031348429312,,other
Soo Teck,PW7,1.4050879181876932,103.89720931694224,,other
Kadaloor,PE5,1.3995841860950975,103.91648632856422,,other
Coral Edge,PE3,1.3939085594513778,103.91258052140884,,other
Thanggam,SW4,1.397317488328674,103.87563482310387,,other
Keat Hong,BP3,1.378602099316918,103.74905518614288,,other
Damai,PE7,1.4052341695058823,103.90860321025063,,other
Cove,PE1,1.3992813183537511,103.90596161068787,,other
Riviera,PE4,1.3945238291029671,103.91616572557972,2031,mrt
Senja,BP13,1.3826916291578648,103.76236689266916,,other
Jelapang,BP12,1.3867023583476157,103.76450300487436,,other
Petir,BP7,1.3777496671508374,103.7666686269348,,other
Teck Whye,BP4,1.376684012777711,103.75371189893323,,other
Choa Chu Kang,BP1,1.3848356932998314,103.74455339799557,1990,mrt
South View,BP2,1.3802976205512498,103.74529146679455,,other
Layar,SW6,1.392079172106062,103.8800292669943,,other
Kangkar,SE4,1.3839782351672183,103.90217365538437,,other
Meridian,PE2,1.3969113863971243,103.90894988357249,,other
Cheng Lim,SW1,1.3962769646694455,103.89379684746592,,other
Punggol Point,PW3,1.4168478538296947,103.90665045707527,,other
Sumang,PW6,1.408451758981461,103.89855812067263,,other
Fernvale,SW5,1.3918852210775294,103.87630827801615,,other
Tongkang,SW7,1.3893472862932013,103.8858438165469,,other
Pending,BP8,1.3761422161185943,103.77126984531763,,other
Teck Lee,PW2,1.4127702271974507,103.90657728931141,,other
Bangkit,BP9,1.3800172305756426,103.77264873927493,,other
Bakau,SE3,1.3880920371088592,103.90543877085315,,other
Rumbia,SE2,1.391467830172331,103.9059732619228,,other
Compassvale,SE1,1.394492379531778,103.9004921172482,,other
Ten Mile Junction,BP14,1.3803203418268235,103.76013944407805,,other
Ranggung,SE5,1.384232894004196,103.8971943361386,,other
Phoenix,BP5,1.3786181777866464,103.7580337651123,,other
Segar,BP11,1.3877714641945056,103.76959806348835,,other
Sengkang,STC,1.3916086971498969,103.89544225029226,2003,mrt
Bras Basah,CC2,1.296861019860377,103.85066703844014,2010,mrt
Macpherson,CC10/DT26,1.3262104606251115,103.88981847737452,2010,mrt
City Hall,EW13/NS25,1.292935576178844,103.85258555900556,1987,mrt
Tampines East,DT33,1.3561908163715506,103.95463412940992,2017,mrt
Tampines West,DT31,1.345514638635807,103.93843663789364,2017,mrt
Geylang Bahru,DT24,1.3215051713506172,103.87190029235842,2017,mrt
Bendemeer,DT23,1.313671565877406,103.86297765413143,2017,mrt
Bencoolen,DT21,1.2988636037501329,103.85038392157855,2017,mrt
Harbourfront,NE1/CC29,1.2654719731946849,103.82144273575821,2003,mrt
Promenade,DT15/CC4,1.2930541351235418,103.86092573873002,2010,mrt
Bugis,DT14/EW12,1.3000072443451258,103.85628704021627,1989,mrt
Kent Ridge,CC24,1.293461966477464,103.78463109348135,2011,mrt
Punggol,NE17,1.4045460611217395,103.9020723050245,2003,mrt
Tanjong Pagar,EW15,1.2765205800256862,103.84586389601084,1987,mrt
One-North,CC23,1.299759211924949,103.78745717451768,2011,mrt
Bishan,CC15/NS17,1.3510731672379128,103.8486488584108,1987,mrt
Stadium,CC6,1.3028399629661689,103.87535000182865,2010,mrt
Somerset,NS23,1.3002593883981926,103.8390748290093,1987,mrt
Orchard,NS22,1.3039803457696473,103.83224111873473,1987,mrt
Jalan Besar,DT22,1.30540297555608,103.85547668299951,2017,mrt
Bayfront,DT16/CE1,1.2818731218242625,103.8590794317913,2012,mrt
Sengkang,NE16,1.3916939594326203,103.8954843607881,2003,mrt
Bukit Brown,CC18,1.3337282156543682,103.83068921680423,,other
Mountbatten,CC7,1.3062012381642654,103.88252774745432,2010,mrt
Kovan,NE13,1.3601785045124906,103.885064522977,2003,mrt
Fort Canning,DT20,1.292478261250205,103.84432793627347,2017,mrt
Farrer Road,CC20,1.317509945228673,103.80758577242149,2011,mrt
Downtown,DT17,1.2794455237114053,103.85284011070075,2013,mrt
Esplanade,CC3,1.293320940944003,103.85550377218695,2010,mrt
Nicoll Highway,CC5,1.2997661686008202,103.86363668515287,2010,mrt
Caldecott,CC17,1.3376738413772886,103.83952948742909,2011,mrt
Marina Bay,NS27/CE2,1.2762883290164702,103.85484554654327,1989,mrt
Labrador Park,CC27,1.272332064929177,103.80293928709656,2011,mrt
Chinatown,NE4/DT19,1.284553606979918,103.84393865499416,2003,mrt
Newton,DT11/NS21,1.3129629342074818,103.8378978135442,1987,mrt
Tan Kah Kee,DT8,1.3258825422553977,103.80732187428755,2015,mrt
Tiong Bahru,EW17,1.2861927261916632,103.82701909759243,1988,mrt
Hillview,DT3,1.3623442018613825,103.7674179211664,2015,mrt
King Albert Park,DT6,1.3356644540929516,103.78380632556393,2015,mrt
Mattar,DT25,1.326876048045757,103.88324717582337,2017,mrt
Ubi,DT27,1.3299561590371909,103.89925219160284,2017,mrt
Beauty World,DT5,1.341222509044653,103.7757939519934,2015,mrt
Kaki Bukit,DT28,1.334966634897795,103.9084594010759,2017,mrt
Bedok North,DT29,1.3347414500920625,103.91797799636716,2017,mrt
Dhoby Ghaut,NS24/NE6/CC1,1.2990825272089663,103.84594715057548,1987,mrt
Serangoon,CC13/NE12,1.3501508992444695,103.87297113483059,2003,mrt
Woodleigh,NE11,1.3391893788582496,103.87081797602742,2011,mrt
Novena,NS20,1.3204401241807653,103.84382528547943,1987,mrt
Bedok Reservoir,DT30,1.3366071631444325,103.93223429018423,2017,mrt
Marina South Pier,NS28,1.271336044661863,103.86285943629484,2014,mrt
Farrer Park,NE8,1.3123591735449942,103.85417680819214,2003,mrt
Bartley,CC12,1.3428276710707725,103.87975857287384,2009,mrt
Dakota,CC8,1.3083819726001025,103.88866227057056,2010,mrt
Pasir Panjang,CC26,1.2762128560181432,103.7913499798378,2011,mrt
Outram Park,NE3/EW16,1.2805840939890818,103.83935028606649,1987,mrt
Clarke Quay,NE5,1.2883853575338489,103.84655487595852,2003,mrt
Botanic Gardens,DT9/CC19,1.3222664191751448,103.81555686841259,,other
Marymount,CC16,1.3487065963512337,103.83942279923492,2009,mrt
Haw Par Villa,CC25,1.282541489975833,103.78181011801121,2011,mrt
Lorong Chuan,CC14,1.3516115043587469,103.86415160470331,2009,mrt
Lavender,EW11,1.3073563534284387,103.86282887476379,1989,mrt
Tai Seng,CC11,1.335432655556156,103.88819452779144,2010,mrt
Rochor,DT13,1.303915817297394,103.85242134736595,2015,mrt
Little India,DT12/NE7,1.3069984574445304,103.84911546263949,2003,mrt
Stevens,DT10,1.320064890339588,103.82602406891277,2015,mrt
Bukit Panjang,DT1,1.3790014500513632,103.76153478145277,2015,mrt
Cashew,DT2,1.3693691643979409,103.76469408902504,2015,mrt
Sixth Avenue,DT7,1.3307857206970255,103.79724598334164,2015,mrt
Toa Payoh,NS19,1.3326283204561409,103.84750143100314,1987,mrt
Woodlands South,TE3,1.427259312044842,103.793850559122,2020,mrt
Potong Pasir,NE10,1.3313788579523371,103.86905533192592,2003,mrt
Hougang,NE14,1.3712916250120202,103.89238018554428,2003,mrt
Boon Keng,NE9,1.3193950393559846,103.86168616852736,2003,mrt
Upper Changi,DT34,1.3417368172278428,103.96147145513383,2017,mrt
Changi Airport,CG2,1.3573138786664856,103.98836432480928,2002,mrt
Braddell,NS18,1.3404710177840782,103.84679751207548,1987,mrt
Buangkok,NE15,1.3828771914807794,103.89312123141652,2006,mrt
Raffles Place,EW14/NS26,1.2841249439059066,103.85146137875292,1987,mrt
Holland Village,CC21,1.311834123735084,103.79619149054248,2011,mrt
Telok Blangah,CC28,1.270752544791237,103.80974830350969,2011,mrt
Telok Ayer,DT18,1.2822888695249364,103.8483024728556,2013,mrt
Canberra,NS12,1.4431360333335566,103.8297114666678,2019,mrt
Woodlands North,TE1,1.4482918333338282,103.78569236669128,2020,mrt
